subcategory,country,channel,year_month,status,live_units,desired_units,delta_units,live_revenue,desired_revenue,delta_revenue
Bag - Beach,AU,DTC,2024_10,matched,4,4,0,150.9,150.9,0.0
Bag - Beach,AU,DTC,2024_11,matched,19,19,0,697.39,697.39,0.0
Bag - Beach,AU,DTC,2024_12,matched,32,32,0,1318.54,1318.54,0.0
Bag - Beach,AU,DTC,2025_01,matched,8,8,0,319.23,319.23,0.0
Bag - Beach,AU,DTC,2025_02,matched,3,3,0,82.23,82.23,0.0
Bag - Beach,AU,DTC,2025_03,matched,7,7,0,283.71,283.71,0.0
Bag - Beach,AU,DTC,2025_04,matched,5,5,0,205.39,205.39,0.0
Bag - Beach,AU,DTC,2025_05,matched,6,6,0,221.23,221.23,0.0
Bag - Beach,AU,DTC,2025_06,matched,6,6,0,169.98,169.98,0.0
Bag - Beach,AU,DTC,2025_07,matched,11,11,0,388.76,388.76,0.0
Bag - Beach,AU,DTC,2025_08,matched,16,16,0,597.94,597.94,0.0
Bag - Beach,AU,DTC,2025_09,matched,9,9,0,333.09,333.09,0.0
Bag - Beach,AU,DTC,2025_10,matched,18,18,0,705.94,705.94,0.0
Bag - Beach,AU,DTC,2025_11,matched,52,52,0,1529.43,1529.43,0.0
Bag - Beach,AU,DTC,2025_12,matched,88,88,0,2985.06,2985.06,0.0
Bag - Beach,AU,DTC,2026_01,matched,17,17,0,662.24,662.24,0.0
Bag - Beach,AU,DTC,2026_02,matched,6,6,0,191.57,191.57,0.0
Bag - Beach,AU,DTC,2026_03,matched,9,9,0,325.99,325.99,0.0
Bag - Beach,AU,DTC,2026_04,matched,1,1,0,33.33,33.33,0.0
Bag - Beach,AU,DTC,2026_05,matched,4,4,0,152.89,152.89,0.0
Bag - Beach,AU,DTC,2026_06,matched,5,5,0,148.45,148.45,0.0
Bag - Beach,AU,DTC,2026_07,matched,5,5,0,184.01,184.01,0.0
Bag - Beach,AU,FBA,2025_12,matched,1,1,0,47.36,47.36,0.0
Bag - Beach,AU,FBA,2026_08,matched,1,1,0,40.34,40.34,0.0
Bag - Beach,CA,FBA,2025_03,matched,1,1,0,28.55,28.55,0.0
Bag - Beach,EU,B2B,2024_08,matched,8,8,0,78.09,78.09,0.0
Bag - Beach,EU,B2B,2024_09,matched,2,2,0,0.0,0.0,0.0
Bag - Beach,EU,B2B,2024_10,matched,1,1,0,0.0,0.0,0.0
Bag - Beach,EU,B2B,2024_12,matched,33,33,0,447.95,447.95,0.0
Bag - Beach,EU,B2B,2025_04,matched,3,3,0,56.36,56.36,0.0
Bag - Beach,EU,B2B,2025_05,matched,3,3,0,51.66,51.66,0.0
Bag - Beach,EU,B2B,2025_06,matched,11,11,0,174.38,174.38,0.0
Bag - Beach,EU,B2B,2025_07,matched,12,12,0,183.27,183.27,0.0
Bag - Beach,EU,B2B,2025_08,matched,20,20,0,294.15,294.15,0.0
Bag - Beach,EU,B2B,2025_09,matched,12,12,0,181.18,181.18,0.0
Bag - Beach,EU,B2B,2025_12,matched,1,1,0,0.0,0.0,0.0
Bag - Beach,EU,B2B,2026_01,matched,500,500,0,9221.85,9221.85,0.0
Bag - Beach,EU,B2B,2026_02,matched,0,0,0,478.14,478.14,0.0
Bag - Beach,EU,B2B,2026_03,matched,4,4,0,79.56,79.56,0.0
Bag - Beach,EU,B2B,2026_05,matched,6,6,0,117.8,117.8,0.0
Bag - Beach,EU,B2B,2026_06,matched,10,10,0,118.86,118.86,0.0
Bag - Beach,EU,B2B,2026_08,matched,10,10,0,196.0,196.0,0.0
Bag - Beach,EU,DTC,2024_06,matched,3,3,0,97.66,97.66,0.0
Bag - Beach,EU,DTC,2024_07,matched,12,12,0,318.91,318.91,0.0
Bag - Beach,EU,DTC,2024_08,matched,5,5,0,184.45,184.45,0.0
Bag - Beach,EU,DTC,2024_09,matched,2,2,0,73.39,73.39,0.0
Bag - Beach,EU,DTC,2024_10,matched,1,1,0,34.64,34.64,0.0
Bag - Beach,EU,DTC,2024_12,matched,7,7,0,228.33,228.33,0.0
Bag - Beach,EU,DTC,2025_01,matched,11,11,0,372.33,372.33,0.0
Bag - Beach,EU,DTC,2025_04,matched,1,1,0,39.52,39.52,0.0
Bag - Beach,EU,DTC,2025_05,matched,14,14,0,475.17,475.17,0.0
Bag - Beach,EU,DTC,2025_06,matched,28,28,0,938.42,938.42,0.0
Bag - Beach,EU,DTC,2025_07,matched,19,19,0,594.19,594.19,0.0
Bag - Beach,EU,DTC,2025_08,matched,14,14,0,461.52,461.52,0.0
Bag - Beach,EU,DTC,2025_09,matched,7,7,0,234.23,234.23,0.0
Bag - Beach,EU,DTC,2025_11,matched,11,11,0,305.11,305.11,0.0
Bag - Beach,EU,DTC,2025_12,matched,10,10,0,266.77,266.77,0.0
Bag - Beach,EU,DTC,2026_01,matched,10,10,0,293.11,293.11,0.0
Bag - Beach,EU,DTC,2026_02,matched,7,7,0,237.65,237.65,0.0
Bag - Beach,EU,DTC,2026_03,matched,21,21,0,653.59,653.59,0.0
Bag - Beach,EU,DTC,2026_04,matched,18,18,0,626.42,626.42,0.0
Bag - Beach,EU,DTC,2026_05,matched,19,19,0,643.56,643.56,0.0
Bag - Beach,EU,DTC,2026_06,matched,12,12,0,446.46,446.46,0.0
Bag - Beach,EU,FBA,2024_11,matched,1,1,0,47.71,47.71,0.0
Bag - Beach,EU,FBA,2025_06,matched,1,1,0,56.46,56.46,0.0
Bag - Beach,EU,FBA,2025_07,matched,2,2,0,85.88,85.88,0.0
Bag - Beach,EU,FBA,2025_08,matched,1,1,0,42.87,42.87,0.0
Bag - Beach,EU,FBA,2026_07,matched,2,2,0,95.13,95.13,0.0
Bag - Beach,UK,B2B,2024_01,only_live (drop),60,,-60,757.15,,-757.15
Bag - Beach,UK,B2B,2024_02,only_live (drop),399,,-399,3666.63,,-3666.63
Bag - Beach,UK,B2B,2024_03,only_live (drop),1003,,-1003,9780.8,,-9780.8
Bag - Beach,UK,B2B,2024_04,matched,7,7,0,120.0,120.0,0.0
Bag - Beach,UK,B2B,2024_05,matched,7,7,0,140.0,140.0,0.0
Bag - Beach,UK,B2B,2024_06,matched,11,11,0,223.9,223.9,0.0
Bag - Beach,UK,B2B,2024_07,matched,7,7,0,100.0,100.0,0.0
Bag - Beach,UK,B2B,2024_08,only_live (drop),1125,,-1125,10686.27,,-10686.27
Bag - Beach,UK,B2B,2024_09,only_live (drop),33,,-33,345.91,,-345.91
Bag - Beach,UK,B2B,2024_10,only_live (drop),32,,-32,304.14,,-304.14
Bag - Beach,UK,B2B,2024_11,only_live (drop),25,,-25,225.22,,-225.22
Bag - Beach,UK,B2B,2024_12,matched,14,14,0,280.0,280.0,0.0
Bag - Beach,UK,B2B,2025_01,matched,8,8,0,126.54,126.54,0.0
Bag - Beach,UK,B2B,2025_02,only_live (drop),-375,,375,9684.93,,-9684.93
Bag - Beach,UK,B2B,2025_03,matched,9,9,0,177.65,177.65,0.0
Bag - Beach,UK,B2B,2025_04,matched,29,29,0,1082.64,1082.64,0.0
Bag - Beach,UK,B2B,2025_05,matched,34,34,0,668.77,668.77,0.0
Bag - Beach,UK,B2B,2025_06,matched,40,40,0,806.97,806.97,0.0
Bag - Beach,UK,B2B,2025_07,matched,2,2,0,43.78,43.78,0.0
Bag - Beach,UK,B2B,2025_08,only_live (drop),248,,-248,2065.5,,-2065.5
Bag - Beach,UK,B2B,2025_09,only_live (drop),227,,-227,2233.96,,-2233.96
Bag - Beach,UK,B2B,2025_10,only_live (drop),58,,-58,677.46,,-677.46
Bag - Beach,UK,B2B,2025_11,only_live (drop),9,,-9,110.93,,-110.93
Bag - Beach,UK,B2B,2025_12,only_live (drop),138,,-138,1561.96,,-1561.96
Bag - Beach,UK,B2B,2026_01,matched,8,8,0,149.15,149.15,0.0
Bag - Beach,UK,B2B,2026_02,matched,1,1,0,1040.61,1040.61,0.0
Bag - Beach,UK,B2B,2026_03,matched,10,10,0,191.32,191.32,0.0
Bag - Beach,UK,B2B,2026_04,only_live (drop),1918,,-1918,21931.09,,-21931.09
Bag - Beach,UK,B2B,2026_05,only_live (drop),326,,-326,3955.06,,-3955.06
Bag - Beach,UK,B2B,2026_06,matched,503,503,0,10435.83,10435.83,0.0
Bag - Beach,UK,B2B,2026_07,matched,104,104,0,2162.16,2162.16,0.0
Bag - Beach,UK,B2B,2026_08,matched,20,20,0,0.0,0.0,0.0
Bag - Beach,UK,DTC,2024_01,only_live (drop),259,,-259,2897.1,,-2897.1
Bag - Beach,UK,DTC,2024_02,only_live (drop),276,,-276,2252.51,,-2252.51
Bag - Beach,UK,DTC,2024_03,only_live (drop),526,,-526,3618.62,,-3618.62
Bag - Beach,UK,DTC,2024_04,matched,21,21,0,762.66,762.66,0.0
Bag - Beach,UK,DTC,2024_05,matched,132,132,0,4649.41,4649.41,0.0
Bag - Beach,UK,DTC,2024_06,matched,138,138,0,4956.91,4956.91,0.0
Bag - Beach,UK,DTC,2024_07,matched,153,153,0,5597.33,5597.33,0.0
Bag - Beach,UK,DTC,2024_08,matched,150,150,0,5137.65,5137.65,0.0
Bag - Beach,UK,DTC,2024_09,matched,55,55,0,1940.98,1940.98,0.0
Bag - Beach,UK,DTC,2024_10,matched,23,23,0,819.42,819.42,0.0
Bag - Beach,UK,DTC,2024_11,matched,77,77,0,2609.35,2609.35,0.0
Bag - Beach,UK,DTC,2024_12,matched,81,81,0,2894.18,2894.18,0.0
Bag - Beach,UK,DTC,2025_01,matched,51,51,0,1885.67,1885.67,0.0
Bag - Beach,UK,DTC,2025_02,matched,29,29,0,1149.74,1149.74,0.0
Bag - Beach,UK,DTC,2025_03,matched,99,99,0,3706.81,3706.81,0.0
Bag - Beach,UK,DTC,2025_04,matched,180,180,0,6848.83,6848.83,0.0
Bag - Beach,UK,DTC,2025_05,matched,262,262,0,9507.46,9507.46,0.0
Bag - Beach,UK,DTC,2025_06,matched,180,180,0,6664.64,6664.64,0.0
Bag - Beach,UK,DTC,2025_07,matched,97,97,0,3337.16,3337.16,0.0
Bag - Beach,UK,DTC,2025_08,matched,1,1,0,43.33,43.33,0.0
Bag - Beach,UK,DTC,2025_09,matched,55,55,0,1888.64,1888.64,0.0
Bag - Beach,UK,DTC,2025_10,matched,66,66,0,2265.28,2265.28,0.0
Bag - Beach,UK,DTC,2025_11,matched,269,269,0,7103.58,7103.58,0.0
Bag - Beach,UK,DTC,2025_12,matched,108,108,0,3462.19,3462.19,0.0
Bag - Beach,UK,DTC,2026_01,matched,30,30,0,1093.43,1093.43,0.0
Bag - Beach,UK,DTC,2026_02,matched,47,47,0,1809.47,1809.47,0.0
Bag - Beach,UK,DTC,2026_03,matched,117,117,0,4245.17,4245.17,0.0
Bag - Beach,UK,DTC,2026_04,matched,111,111,0,4361.81,4361.81,0.0
Bag - Beach,UK,DTC,2026_05,matched,200,200,0,7387.3,7387.3,0.0
Bag - Beach,UK,DTC,2026_06,matched,247,247,0,9379.32,9379.32,0.0
Bag - Beach,UK,DTC,2026_07,matched,256,256,0,9624.32,9624.32,0.0
Bag - Beach,UK,DTC,2026_08,matched,50,50,0,1949.13,1949.13,0.0
Bag - Beach,UK,FBA,2024_01,only_live (drop),161,,-161,3320.37,,-3320.37
Bag - Beach,UK,FBA,2024_02,only_live (drop),129,,-129,2527.07,,-2527.07
Bag - Beach,UK,FBA,2024_03,only_live (drop),226,,-226,4271.69,,-4271.69
Bag - Beach,UK,FBA,2024_04,only_live (drop),345,,-345,6193.25,,-6193.25
Bag - Beach,UK,FBA,2024_05,matched,1,1,0,40.83,40.83,0.0
Bag - Beach,UK,FBA,2024_06,matched,8,8,0,310.32,310.32,0.0
Bag - Beach,UK,FBA,2024_07,matched,13,13,0,418.64,418.64,0.0
Bag - Beach,UK,FBA,2024_08,matched,4,4,0,176.79,176.79,0.0
Bag - Beach,UK,FBA,2024_09,matched,1,1,0,43.48,43.48,0.0
Bag - Beach,UK,FBA,2024_10,only_live (drop),146,,-146,2955.49,,-2955.49
Bag - Beach,UK,FBA,2024_11,matched,5,5,0,206.05,206.05,0.0
Bag - Beach,UK,FBA,2024_12,only_live (drop),296,,-296,6010.6,,-6010.6
Bag - Beach,UK,FBA,2025_01,matched,2,2,0,85.9,85.9,0.0
Bag - Beach,UK,FBA,2025_02,matched,1,1,0,43.43,43.43,0.0
Bag - Beach,UK,FBA,2025_03,matched,7,7,0,285.81,285.81,0.0
Bag - Beach,UK,FBA,2025_04,matched,5,5,0,200.06,200.06,0.0
Bag - Beach,UK,FBA,2025_05,matched,9,9,0,363.59,363.59,0.0
Bag - Beach,UK,FBA,2025_06,matched,15,15,0,570.93,570.93,0.0
Bag - Beach,UK,FBA,2025_07,changed,906,3,-903,15779.39,125.99,-15653.4
Bag - Beach,UK,FBA,2025_08,only_live (drop),572,,-572,9567.66,,-9567.66
Bag - Beach,UK,FBA,2025_09,matched,1,1,0,44.25,44.25,0.0
Bag - Beach,UK,FBA,2025_10,matched,9,9,0,307.55,307.55,0.0
Bag - Beach,UK,FBA,2025_11,matched,8,8,0,279.96,279.96,0.0
Bag - Beach,UK,FBA,2025_12,matched,19,19,0,697.38,697.38,0.0
Bag - Beach,UK,FBA,2026_01,matched,21,21,0,749.68,749.68,0.0
Bag - Beach,UK,FBA,2026_02,matched,11,11,0,432.59,432.59,0.0
Bag - Beach,UK,FBA,2026_03,matched,12,12,0,495.08,495.08,0.0
Bag - Beach,UK,FBA,2026_04,matched,21,21,0,833.9,833.9,0.0
Bag - Beach,UK,FBA,2026_05,matched,44,44,0,1757.35,1757.35,0.0
Bag - Beach,UK,FBA,2026_06,matched,63,63,0,2350.91,2350.91,0.0
Bag - Beach,UK,FBA,2026_07,matched,38,38,0,1518.53,1518.53,0.0
Bag - Beach,UK,FBA,2026_08,matched,23,23,0,656.93,656.93,0.0
Bag - Beach,US,B2B,2024_04,matched,12,12,0,85.28,85.28,0.0
Bag - Beach,US,B2B,2024_05,matched,22,22,0,431.66,431.66,0.0
Bag - Beach,US,B2B,2024_06,matched,8,8,0,153.8,153.8,0.0
Bag - Beach,US,B2B,2024_07,matched,7,7,0,145.89,145.89,0.0
Bag - Beach,US,B2B,2024_08,matched,8,8,0,168.77,168.77,0.0
Bag - Beach,US,B2B,2024_10,matched,2,2,0,41.91,41.91,0.0
Bag - Beach,US,B2B,2024_11,matched,1,1,0,0.0,0.0,0.0
Bag - Beach,US,B2B,2024_12,matched,20,20,0,232.81,232.81,0.0
Bag - Beach,US,B2B,2025_01,matched,20,20,0,412.56,412.56,0.0
Bag - Beach,US,B2B,2025_02,matched,33,33,0,626.51,626.51,0.0
Bag - Beach,US,B2B,2025_03,matched,30,30,0,582.56,582.56,0.0
Bag - Beach,US,B2B,2025_04,matched,41,41,0,690.28,690.28,0.0
Bag - Beach,US,B2B,2025_05,matched,40,40,0,762.72,762.72,0.0
Bag - Beach,US,B2B,2025_06,matched,12,12,0,244.02,244.02,0.0
Bag - Beach,US,B2B,2025_07,matched,11,11,0,218.19,218.19,0.0
Bag - Beach,US,B2B,2025_09,matched,14,14,0,289.17,289.17,0.0
Bag - Beach,US,B2B,2025_10,matched,7,7,0,143.3,143.3,0.0
Bag - Beach,US,B2B,2025_11,matched,1,1,0,0.0,0.0,0.0
Bag - Beach,US,B2B,2025_12,matched,29,29,0,509.74,509.74,0.0
Bag - Beach,US,B2B,2026_01,matched,4,4,0,81.86,81.86,0.0
Bag - Beach,US,B2B,2026_02,matched,17,17,0,328.17,328.17,0.0
Bag - Beach,US,B2B,2026_03,matched,118,118,0,2385.0,2385.0,0.0
Bag - Beach,US,B2B,2026_04,matched,83,83,0,1206.84,1206.84,0.0
Bag - Beach,US,B2B,2026_05,matched,32,32,0,642.7,642.7,0.0
Bag - Beach,US,B2B,2026_06,matched,36,36,0,726.52,726.52,0.0
Bag - Beach,US,B2B,2026_07,matched,4,4,0,83.34,83.34,0.0
Bag - Beach,US,DTC,2024_04,matched,6,6,0,240.73,240.73,0.0
Bag - Beach,US,DTC,2024_05,matched,12,12,0,433.29,433.29,0.0
Bag - Beach,US,DTC,2024_06,matched,12,12,0,405.85,405.85,0.0
Bag - Beach,US,DTC,2024_07,matched,14,14,0,473.45,473.45,0.0
Bag - Beach,US,DTC,2024_08,matched,4,4,0,146.2,146.2,0.0
Bag - Beach,US,DTC,2024_09,matched,4,4,0,134.87,134.87,0.0
Bag - Beach,US,DTC,2024_11,matched,4,4,0,109.51,109.51,0.0
Bag - Beach,US,DTC,2024_12,matched,13,13,0,391.94,391.94,0.0
Bag - Beach,US,DTC,2025_01,matched,5,5,0,183.61,183.61,0.0
Bag - Beach,US,DTC,2025_02,matched,5,5,0,144.17,144.17,0.0
Bag - Beach,US,DTC,2025_03,matched,12,12,0,465.48,465.48,0.0
Bag - Beach,US,DTC,2025_04,matched,25,25,0,909.63,909.63,0.0
Bag - Beach,US,DTC,2025_05,matched,46,46,0,1698.31,1698.31,0.0
Bag - Beach,US,DTC,2025_06,matched,21,21,0,810.22,810.22,0.0
Bag - Beach,US,DTC,2025_07,matched,26,26,0,981.87,981.87,0.0
Bag - Beach,US,DTC,2025_08,matched,11,11,0,436.99,436.99,0.0
Bag - Beach,US,DTC,2025_09,matched,7,7,0,230.54,230.54,0.0
Bag - Beach,US,DTC,2025_10,matched,5,5,0,196.18,196.18,0.0
Bag - Beach,US,DTC,2025_11,matched,21,21,0,648.82,648.82,0.0
Bag - Beach,US,DTC,2025_12,matched,71,71,0,2461.88,2461.88,0.0
Bag - Beach,US,DTC,2026_01,matched,12,12,0,381.08,381.08,0.0
Bag - Beach,US,DTC,2026_02,matched,23,23,0,944.54,944.54,0.0
Bag - Beach,US,DTC,2026_03,matched,15,15,0,636.3,636.3,0.0
Bag - Beach,US,DTC,2026_04,matched,9,9,0,325.28,325.28,0.0
Bag - Beach,US,DTC,2026_05,matched,21,21,0,837.72,837.72,0.0
Bag - Beach,US,DTC,2026_06,matched,38,38,0,1394.66,1394.66,0.0
Bag - Beach,US,DTC,2026_07,matched,16,16,0,564.89,564.89,0.0
Bag - Beach,US,DTC,2026_08,matched,3,3,0,108.23,108.23,0.0
Bag - Beach,US,FBA,2025_03,matched,2,2,0,68.22,68.22,0.0
Bag - Beach,US,FBA,2025_04,matched,6,6,0,232.25,232.25,0.0
Bag - Beach,US,FBA,2025_05,matched,16,16,0,587.09,587.09,0.0
Bag - Beach,US,FBA,2025_06,matched,7,7,0,236.36,236.36,0.0
Bag - Beach,US,FBA,2025_07,matched,10,10,0,347.04,347.04,0.0
Bag - Beach,US,FBA,2025_08,matched,6,6,0,184.21,184.21,0.0
Bag - Beach,US,FBA,2025_09,matched,1,1,0,30.79,30.79,0.0
Bag - Beach,US,FBA,2025_10,matched,1,1,0,36.78,36.78,0.0
Bag - Beach,US,FBA,2025_11,matched,1,1,0,37.23,37.23,0.0
Bag - Beach,US,FBA,2025_12,matched,6,6,0,219.91,219.91,0.0
Bag - Beach,US,FBA,2026_01,matched,6,6,0,207.89,207.89,0.0
Bag - Beach,US,FBA,2026_02,matched,10,10,0,360.0,360.0,0.0
Bag - Beach,US,FBA,2026_03,matched,23,23,0,841.39,841.39,0.0
Bag - Beach,US,FBA,2026_04,matched,14,14,0,509.06,509.06,0.0
Bag - Beach,US,FBA,2026_05,matched,9,9,0,327.27,327.27,0.0
Bag - Beach,US,FBA,2026_06,matched,19,19,0,748.71,748.71,0.0
Bag - Beach,US,FBA,2026_07,matched,7,7,0,265.62,265.62,0.0
Bag - Beach,US,FBA,2026_08,matched,3,3,0,122.3,122.3,0.0
Bag - Cooling,AU,DTC,2025_04,matched,1,1,0,53.93,53.93,0.0
Bag - Cooling,AU,DTC,2025_06,matched,2,2,0,41.62,41.62,0.0
Bag - Cooling,AU,DTC,2025_07,matched,2,2,0,33.65,33.65,0.0
Bag - Cooling,AU,DTC,2025_08,matched,4,4,0,172.15,172.15,0.0
Bag - Cooling,AU,DTC,2025_09,matched,3,3,0,132.52,132.52,0.0
Bag - Cooling,AU,DTC,2025_10,matched,5,5,0,211.57,211.57,0.0
Bag - Cooling,AU,DTC,2025_11,matched,9,9,0,239.21,239.21,0.0
Bag - Cooling,AU,DTC,2025_12,matched,23,23,0,805.11,805.11,0.0
Bag - Cooling,AU,DTC,2026_01,matched,2,2,0,77.46,77.46,0.0
Bag - Cooling,AU,DTC,2026_02,matched,1,1,0,44.37,44.37,0.0
Bag - Cooling,AU,DTC,2026_04,matched,1,1,0,53.11,53.11,0.0
Bag - Cooling,AU,DTC,2026_05,matched,1,1,0,45.03,45.03,0.0
Bag - Cooling,AU,DTC,2026_06,matched,2,2,0,45.59,45.59,0.0
Bag - Cooling,AU,FBA,2026_07,matched,1,1,0,59.34,59.34,0.0
Bag - Cooling,EU,B2B,2025_04,matched,4,4,0,90.87,90.87,0.0
Bag - Cooling,EU,B2B,2025_05,matched,11,11,0,237.77,237.77,0.0
Bag - Cooling,EU,B2B,2025_06,matched,33,33,0,707.52,707.52,0.0
Bag - Cooling,EU,B2B,2025_07,matched,8,8,0,122.23,122.23,0.0
Bag - Cooling,EU,B2B,2025_08,matched,25,25,0,485.21,485.21,0.0
Bag - Cooling,EU,B2B,2025_09,matched,4,4,0,104.28,104.28,0.0
Bag - Cooling,EU,B2B,2025_11,matched,2,2,0,47.78,47.78,0.0
Bag - Cooling,EU,B2B,2025_12,matched,1,1,0,0.0,0.0,0.0
Bag - Cooling,EU,B2B,2026_02,matched,12,12,0,1168.53,1168.53,0.0
Bag - Cooling,EU,B2B,2026_03,matched,16,16,0,373.52,373.52,0.0
Bag - Cooling,EU,B2B,2026_04,matched,9,9,0,221.47,221.47,0.0
Bag - Cooling,EU,B2B,2026_05,matched,6,6,0,147.31,147.31,0.0
Bag - Cooling,EU,B2B,2026_06,matched,6,6,0,146.61,146.61,0.0
Bag - Cooling,EU,B2B,2026_07,matched,4,4,0,97.91,97.91,0.0
Bag - Cooling,EU,B2B,2026_08,matched,24,24,0,581.7,581.7,0.0
Bag - Cooling,EU,DTC,2025_05,matched,5,5,0,216.49,216.49,0.0
Bag - Cooling,EU,DTC,2025_06,matched,12,12,0,463.06,463.06,0.0
Bag - Cooling,EU,DTC,2025_07,matched,7,7,0,268.31,268.31,0.0
Bag - Cooling,EU,DTC,2025_08,matched,2,2,0,79.14,79.14,0.0
Bag - Cooling,EU,DTC,2025_09,matched,4,4,0,107.89,107.89,0.0
Bag - Cooling,EU,DTC,2025_10,matched,1,1,0,34.73,34.73,0.0
Bag - Cooling,EU,DTC,2025_11,matched,7,7,0,230.37,230.37,0.0
Bag - Cooling,EU,DTC,2025_12,matched,3,3,0,113.52,113.52,0.0
Bag - Cooling,EU,DTC,2026_01,matched,1,1,0,34.01,34.01,0.0
Bag - Cooling,EU,DTC,2026_02,matched,1,1,0,41.11,41.11,0.0
Bag - Cooling,EU,DTC,2026_03,matched,4,4,0,148.84,148.84,0.0
Bag - Cooling,EU,DTC,2026_04,matched,4,4,0,188.53,188.53,0.0
Bag - Cooling,EU,DTC,2026_05,matched,5,5,0,216.58,216.58,0.0
Bag - Cooling,EU,DTC,2026_06,matched,15,15,0,646.72,646.72,0.0
Bag - Cooling,UK,B2B,2025_04,matched,10,10,0,214.0,214.0,0.0
Bag - Cooling,UK,B2B,2025_05,matched,18,18,0,428.39,428.39,0.0
Bag - Cooling,UK,B2B,2025_06,matched,1,1,0,22.91,22.91,0.0
Bag - Cooling,UK,B2B,2025_08,matched,20,20,0,458.2,458.2,0.0
Bag - Cooling,UK,B2B,2026_01,matched,8,8,0,188.44,188.44,0.0
Bag - Cooling,UK,B2B,2026_02,matched,2,2,0,2021.85,2021.85,0.0
Bag - Cooling,UK,B2B,2026_03,matched,46,46,0,1102.5,1102.5,0.0
Bag - Cooling,UK,B2B,2026_04,matched,18,18,0,437.5,437.5,0.0
Bag - Cooling,UK,B2B,2026_05,matched,32,32,0,594.46,594.46,0.0
Bag - Cooling,UK,B2B,2026_06,matched,97,97,0,2400.0,2400.0,0.0
Bag - Cooling,UK,B2B,2026_07,matched,28,28,0,700.0,700.0,0.0
Bag - Cooling,UK,B2B,2026_08,matched,8,8,0,200.0,200.0,0.0
Bag - Cooling,UK,DTC,2025_03,matched,11,11,0,463.54,463.54,0.0
Bag - Cooling,UK,DTC,2025_04,matched,90,90,0,3776.55,3776.55,0.0
Bag - Cooling,UK,DTC,2025_05,matched,108,108,0,4176.92,4176.92,0.0
Bag - Cooling,UK,DTC,2025_06,matched,71,71,0,2709.65,2709.65,0.0
Bag - Cooling,UK,DTC,2025_07,matched,115,115,0,4671.99,4671.99,0.0
Bag - Cooling,UK,DTC,2025_08,matched,60,60,0,2135.11,2135.11,0.0
Bag - Cooling,UK,DTC,2025_09,matched,15,15,0,563.21,563.21,0.0
Bag - Cooling,UK,DTC,2025_10,matched,7,7,0,295.0,295.0,0.0
Bag - Cooling,UK,DTC,2025_11,matched,22,22,0,872.65,872.65,0.0
Bag - Cooling,UK,DTC,2025_12,matched,22,22,0,814.65,814.65,0.0
Bag - Cooling,UK,DTC,2026_01,matched,7,7,0,302.5,302.5,0.0
Bag - Cooling,UK,DTC,2026_02,matched,4,4,0,177.5,177.5,0.0
Bag - Cooling,UK,DTC,2026_03,matched,33,33,0,1172.89,1172.89,0.0
Bag - Cooling,UK,DTC,2026_04,matched,108,108,0,4799.83,4799.83,0.0
Bag - Cooling,UK,DTC,2026_05,matched,198,198,0,8279.55,8279.55,0.0
Bag - Cooling,UK,DTC,2026_06,matched,284,284,0,12360.69,12360.69,0.0
Bag - Cooling,UK,DTC,2026_07,matched,263,263,0,11237.76,11237.76,0.0
Bag - Cooling,UK,DTC,2026_08,matched,41,41,0,1757.21,1757.21,0.0
Bag - Cooling,UK,FBA,2025_07,matched,3,3,0,136.23,136.23,0.0
Bag - Cooling,UK,FBA,2025_08,matched,3,3,0,137.49,137.49,0.0
Bag - Cooling,UK,FBA,2025_09,matched,1,1,0,49.99,49.99,0.0
Bag - Cooling,UK,FBA,2025_11,matched,1,1,0,49.99,49.99,0.0
Bag - Cooling,UK,FBA,2025_12,matched,2,2,0,99.98,99.98,0.0
Bag - Cooling,UK,FBA,2026_02,matched,2,2,0,99.98,99.98,0.0
Bag - Cooling,UK,FBA,2026_04,matched,4,4,0,174.96,174.96,0.0
Bag - Cooling,UK,FBA,2026_05,matched,3,3,0,134.97,134.97,0.0
Bag - Cooling,UK,FBA,2026_06,matched,12,12,0,524.38,524.38,0.0
Bag - Cooling,UK,FBA,2026_07,matched,1,1,0,35.62,35.62,0.0
Bag - Cooling,US,B2B,2025_01,matched,12,12,0,326.08,326.08,0.0
Bag - Cooling,US,B2B,2025_02,matched,14,14,0,330.85,330.85,0.0
Bag - Cooling,US,B2B,2025_03,matched,13,13,0,340.54,340.54,0.0
Bag - Cooling,US,B2B,2025_04,matched,24,24,0,487.76,487.76,0.0
Bag - Cooling,US,B2B,2025_05,matched,26,26,0,604.71,604.71,0.0
Bag - Cooling,US,B2B,2025_06,matched,18,18,0,470.54,470.54,0.0
Bag - Cooling,US,B2B,2025_07,matched,8,8,0,216.51,216.51,0.0
Bag - Cooling,US,B2B,2025_08,matched,8,8,0,195.23,195.23,0.0
Bag - Cooling,US,B2B,2025_09,matched,14,14,0,332.77,332.77,0.0
Bag - Cooling,US,B2B,2025_10,matched,8,8,0,143.26,143.26,0.0
Bag - Cooling,US,B2B,2025_11,matched,1,1,0,0.0,0.0,0.0
Bag - Cooling,US,B2B,2025_12,matched,1,1,0,4167.0,4167.0,0.0
Bag - Cooling,US,B2B,2026_01,matched,1,1,0,28.0,28.0,0.0
Bag - Cooling,US,B2B,2026_02,matched,29,29,0,762.16,762.16,0.0
Bag - Cooling,US,B2B,2026_03,matched,155,155,0,4193.97,4193.97,0.0
