SKU,category,subcategory
BAGTOI-MD-BOHMDRM,Bag - Toiletry,Bag - Toiletry
BAGTOI-MD-CACTMNTN,Bag - Toiletry,Bag - Toiletry
BAGTOI-MD-CHRYBMB,Bag - Toiletry,Bag - Toiletry
BAGTOI-MD-NAVY,Bag - Toiletry,Bag - Toiletry
BAGTOI-MD-PEPPNCH,Bag - Toiletry,Bag - Toiletry
BAGTOI-MD-PINK,Bag - Toiletry,Bag - Toiletry
BAGTOI-MD-SEASOIR,Bag - Toiletry,Bag - Toiletry
BALLAST-CAB-NAVY,Beach Pillow,Beach Pillow
BALLAST-DES-GRECSH,Beach Pillow,Beach Pillow
BALLAST-SUM-BLUSKY,Beach Pillow,Beach Pillow
BALLAST-SUM-CSTCANDY,Beach Pillow,Beach Pillow
BALLAST-SUM-MELLOW,Beach Pillow,Beach Pillow
BALLAST-SUM-MIAMI,Beach Pillow,Beach Pillow
BALLAST-SUM-PSTPIER,Beach Pillow,Beach Pillow
BALLAST-SUM-RSPROAD,Beach Pillow,Beach Pillow
BOTTL-CAB-LTBLU,,
BOTTL-CAB-LTGRE,,
BOTTL-CAB-LTPNK,,
BOTTL-CAB-NAVY,,
BOTTL-CAB-XLSET-LTBLU,,
BOTTL-CAB-XLSET-LTGRE,,
BOTTL-CAB-XLSET-LTPNK,,
BOTTL-CAB-XLSET-NAVY,,
BOTTL-SUM-UNICN,,
BOTTL-SUM-XLSET-UNICN,,
BUNDLE-ATHL-BLUE1,Towel - Beach,Towel - Beach CORE
BUNDLE-ATHL-GREY1,Towel - Beach,Towel - Beach CORE
BUNDLE-ATHL-PINK1,Towel - Beach,Towel - Beach CORE
BUNDLE-BABIATOR-MD-LTPCH-TOWLB-SUM-MD-UNICN,,
BUNDLE-BABIATOR-MD-LTPNK-TOWLB-CAB-MD-LTPNK,,
BUNDLE-BABIATOR-MD-NAVY-TOWLB-CAB-MD-NAVY,,
BUNDLE-BABIATOR-MD-SQUIG-TOWLB-KID-MD-SQUIG,,
BUNDLE-BABIATOR-SM-LTPCH-TOWLB-SUM-MD-UNICN,,
BUNDLE-BABIATOR-SM-LTPNK-TOWLB-CAB-MD-LTPNK,,
BUNDLE-BABIATOR-SM-NAVY-TOWLB-CAB-MD-NAVY,,
BUNDLE-BABIATOR-SM-SQUIG-TOWLB-KID-MD-SQUIG,,
BUNDLE-BAGF-TOWLB-CAB-LTPNK,,
BUNDLE-BAGF-TOWLB-CAB-NAVY,,
BUNDLE-BAGF-TOWLB-DES-LIFELEM,,
BUNDLE-BAGF-TOWLB-DES-MARINDRM,,
BUNDLE-BAGF-TOWLB-DES-TERATROP,,
BUNDLE-BAGF-TOWLB-KID-SQUIG,,
BUNDLE-BAGF-TOWLB-SGW-GETWAV,,
BUNDLE-BAGF-TOWLB-SUM-UNICN,,
BUNDLE-BATH-TIGPALM,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-LTBGE-SETA,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-LTBGE-SETB,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-LTBGE-SETC,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-LTBGE-SETD,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-NAVY-SETA,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-NAVY-SETB,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-NAVY-SETC,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-NAVY-SETD,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-NAVY-SETE,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-NAVY-SETF,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-NAVY-SETG,,
BUNDLE-BEACH-KIT-PICNIC-CAB-LG-NAVY-SETH,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-LTBGE-SETA,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-LTBGE-SETB,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-LTBGE-SETC,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-LTBGE-SETD,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-NAVY-SETA,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-NAVY-SETB,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-NAVY-SETC,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-NAVY-SETD,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-NAVY-SETE,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-NAVY-SETF,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-NAVY-SETG,,
BUNDLE-BEACH-KIT-PICNIC-CAB-XL-NAVY-SETH,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-BLUE-SETA,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-BLUE-SETB,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-BLUE-SETC,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-BLUE-SETD,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-BLUE-SETE,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-PINK-SETA,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-PINK-SETB,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-PINK-SETC,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-PINK-SETD,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-PINK-SETE,,
BUNDLE-BEACH-KIT-PICNIC-GIN-LG-PINK-SETF,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-BLUE-SETA,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-BLUE-SETB,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-BLUE-SETC,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-BLUE-SETD,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-BLUE-SETE,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-PINK-SETA,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-PINK-SETB,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-PINK-SETC,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-PINK-SETD,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-PINK-SETE,,
BUNDLE-BEACH-KIT-PICNIC-GIN-XL-PINK-SETF,,
BUNDLE-BEACH-KIT-PICNIC-SGW-LG-GETWAV-SETA,,
BUNDLE-BEACH-KIT-PICNIC-SGW-LG-GETWAV-SETB,,
BUNDLE-BEACH-KIT-PICNIC-SGW-LG-GETWAV-SETC,,
BUNDLE-BEACH-KIT-PICNIC-SGW-LG-GETWAV-SETD,,
BUNDLE-BEACH-KIT-PICNIC-SGW-XL-GETWAV-SETA,,
BUNDLE-BEACH-KIT-PICNIC-SGW-XL-GETWAV-SETB,,
BUNDLE-BEACH-KIT-PICNIC-SGW-XL-GETWAV-SETC,,
BUNDLE-BEACH-KIT-PICNIC-SGW-XL-GETWAV-SETD,,
BUNDLE-BEACH-KIT-TOWLB-CAB-X2-LTPNK-LG-SETA,,
BUNDLE-BEACH-KIT-TOWLB-CAB-X2-LTPNK-LG-SETB,,
BUNDLE-BEACH-KIT-TOWLB-CAB-X2-LTPNK-LG-SETC,,
