SKU,Qty
"BAGBCH-MD-NAVY",80
"BAGTOI-MD-BOHMDRM",1000
"BAGTOI-MD-CHRYBMB",2295
"BAGTOI-MD-SEASOIR",2405
"EYEMASK-DES-BOHMDRM",2235
"EYEMASK-DES-CHRYBMB",2295
"EYEMASK-DES-SEASOIR",2405
"HAIRW-WAF-BOHMDRM",2235
"HAIRW-WAF-CHRYBMB",2295
"HAIRW-WAF-SEASOIR",2405
"PICNIC-CAB-XL-LTBLU",48
"PICNIC-CAB-XL-NAVY",44
