SKU,Country Category,MonthsStock,FC-M1,FC-M2,FC-M3,FC-M4,FC-M5,FC-M6,FC-M7,FC-M8,FC-M9,FC-M10,FC-M11,FC-M12,P-M1,P-M2,P-M3,P-M4,P-M5,P-M6,P-M7,P-M8,P-M9,P-M10,P-M11,P-M12,G-M1,G-M2,G-M3,G-M4,G-M5,G-M6,G-M7,G-M8,G-M9,G-M10,G-M11,G-M12,FBA-M1,FBA-M2,FBA-M3,FBA-M4,FBA-M5,FBA-M6,FBA-M7,FBA-M8,FBA-M9,FBA-M10,FBA-M11,FBA-M12,B2B-M1,B2B-M2,B2B-M3,B2B-M4,B2B-M5,B2B-M6,B2B-M7,B2B-M8,B2B-M9,B2B-M10,B2B-M11,B2B-M12
SKU Header,Country Category,MonthsStock,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27
TOWLB-KID-MD-CHECKOUT,UK ILGKids Towel - Beach,12,27,17,13,0,0,0,0,0,5,15,13,8,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,0,0,0,0,0,0,22,6,3
TOWLB-KID-MD-GVCLUB,UK ILGKids Towel - Beach,12,38,24,18,0,0,0,0,0,10,14,11,12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,17,0,0,0,0,0,0,28,12,8
TOWLB-KID-MD-INTOWILD,UK ILGKids Towel - Beach,12,27,17,13,0,0,0,0,0,0,13,12,15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,0,0,0,0,0,0,22,12,8
TOWLB-KID-MD-JELLY,UK ILGKids Towel - Beach,12,27,17,13,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,0,0,0,0,0,0,26,6,0
TOWLB-KID-MD-KARMCHAM,UK ILGKids Towel - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLB-KID-MD-POWPOS,UK ILGKids Towel - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLB-KID-MD-RAINB,UK ILGKids Towel - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOWLB-KID-MD-SANDSTRT,UK ILGKids Towel - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLB-KID-MD-SKATER,UK ILGKids Towel - Beach,12,38,24,18,0,0,0,0,0,8,13,7,14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,17,0,0,0,0,0,0,0,6,1
TOWLB-KID-MD-TURTROP,UK ILGKids Towel - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TOWLB-SUM-LG-COLAGN,UK ILGTowel - Beach,2,534,1320,870,255,108,526,201,77,120,177,189,150,,,,,,,,,,,,,33,-283,-50,225,-14,-120,-162,186,80,0,0,0,178,204,95,43,29,37,51,10,9,12,10,38,62,79,90,18,70,31,23,19,33,41,103,60
TOWLB-SUM-LG-CSTCANDY,UK ILGTowel - Beach,2,878,253,206,40,37,111,82,25,51,215,253,337,,,,,,,,,,,,,-40,-145,"1,338","2,021","1,915","1,866","1,808","1,915","1,866","1,808","1,422","1,094",184,43,52,9,17,50,48,35,31,45,63,95,129,306,142,56,60,7,24,24,7,171,75,393
TOWLB-SUM-LG-MIAMI,UK ILGTowel - Beach,1,420,1015,744,196,104,388,156,75,90,174,211,371,,,,,,,,,,,,,"-1,986","-2,421","-1,425",-746,-462,-624,-95,178,16,0,0,0,226,348,107,29,45,106,89,38,43,27,36,70,194,157,243,210,55,7,200,87,21,115,75,209
TOWLB-SUM-LG-OCEAN,UK ILGTowel - Beach,0,400,500,500,80,74,222,164,50,17,128,162,260,,,,,,40,440,160,840,,360,,"-1,305","-1,195",508,277,883,812,760,272,272,-40,-477,-594,92,65,78,14,26,75,72,53,47,12,21,53,77,57,35,23,20,9,30,21,35,104,94,52
