sku_channel,sku,channel,units_2024_01,units_2024_02,units_2024_03,units_2024_04,units_2024_05,units_2024_06,units_2024_07,units_2024_08,units_2024_09,units_2024_10,units_2024_11,units_2024_12,units_2025_01,units_2025_02,units_2025_03,units_2025_04,units_2025_05,units_2025_06,units_2025_07,units_2025_08,units_2025_09,units_2025_10,units_2025_11,units_2025_12,units_2026_01,units_2026_02,units_2026_03,units_2026_04,units_2026_05,units_2026_06,units_2026_07,units_2026_08,units_2026_09,units_2026_10,units_2026_11,units_2026_12,revenue_2024_01,revenue_2024_02,revenue_2024_03,revenue_2024_04,revenue_2024_05,revenue_2024_06,revenue_2024_07,revenue_2024_08,revenue_2024_09,revenue_2024_10,revenue_2024_11,revenue_2024_12,revenue_2025_01,revenue_2025_02,revenue_2025_03,revenue_2025_04,revenue_2025_05,revenue_2025_06,revenue_2025_07,revenue_2025_08,revenue_2025_09,revenue_2025_10,revenue_2025_11,revenue_2025_12,revenue_2026_01,revenue_2026_02,revenue_2026_03,revenue_2026_04,revenue_2026_05,revenue_2026_06,revenue_2026_07,revenue_2026_08,revenue_2026_09,revenue_2026_10,revenue_2026_11,revenue_2026_12
BABIATOR-MD-LTPCH - B2B,BABIATOR-MD-LTPCH,B2B,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,166.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-LTPCH - DTC,BABIATOR-MD-LTPCH,DTC,6,6,1,5,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.32,61.76,18,0,330.13,8.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-LTPNK - B2B,BABIATOR-MD-LTPNK,B2B,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,226.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-LTPNK - DTC,BABIATOR-MD-LTPNK,DTC,15,10,2,7,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.67,105.33,42.9,40,618.09,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-NAVY - B2B,BABIATOR-MD-NAVY,B2B,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,108.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-NAVY - DTC,BABIATOR-MD-NAVY,DTC,19,5,2,13,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.85,65.66,39.63,63.66,546.92,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-SQUIG - B2B,BABIATOR-MD-SQUIG,B2B,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-SQUIG - DTC,BABIATOR-MD-SQUIG,DTC,10,8,0,10,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.42,99.03,0,0,450.93,50.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-LTPCH - B2B,BABIATOR-SM-LTPCH,B2B,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-LTPCH - DTC,BABIATOR-SM-LTPCH,DTC,3,9,1,3,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,98.73,18,0,305.54,63.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-LTPNK - B2B,BABIATOR-SM-LTPNK,B2B,0,0,0,1,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-LTPNK - DTC,BABIATOR-SM-LTPNK,DTC,4,8,1,2,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.67,85.48,20,20.19,497.95,18.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-NAVY - B2B,BABIATOR-SM-NAVY,B2B,0,0,0,3,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.35,0,547.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-NAVY - DTC,BABIATOR-SM-NAVY,DTC,6,6,0,3,71,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.86,59.38,0,0,603.38,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-SQUIG - B2B,BABIATOR-SM-SQUIG,B2B,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-SQUIG - DTC,BABIATOR-SM-SQUIG,DTC,6,6,1,3,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.48,63.07,18,0,264.89,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGBCH-MD-NAVY - B2B,BAGBCH-MD-NAVY,B2B,0,0,0,7,7,11,7,0,0,0,0,14,8,0,9,17,13,15,1,0,0,0,0,0,8,1,6,0,0,401,0,0,0,0,0,0,0,0,0,120,140,223.9,100,0,0,0,0,280,126.54,0,177.65,846.24,253.25,300.84,21.93,0,0,0,0,0,149.15,-0.89,108,0,0,8332,0,0,0,0,0,0
BAGBCH-MD-NAVY - DTC,BAGBCH-MD-NAVY,DTC,0,0,0,21,132,138,153,150,55,23,77,81,51,29,64,90,115,87,34,1,23,31,83,90,28,37,63,63,113,135,73,0,0,0,0,0,0,0,0,762.66,4649.41,4956.91,5597.33,5137.65,1940.98,819.42,2609.35,2894.18,1885.67,1149.74,2351.4,3378.23,4175.14,3298.94,1146.34,43.33,878.36,1158.93,2615.34,2974.7,1023.43,1409.87,2386.44,2482.47,4211.92,5261.19,2859.14,0,0,0,0,0
BAGBCH-MD-NAVY - FBA,BAGBCH-MD-NAVY,FBA,0,0,0,0,1,8,13,4,1,0,5,0,2,1,7,5,9,14,0,0,1,1,2,10,9,8,9,15,22,31,13,0,0,0,0,0,0,0,0,0,40.83,310.32,418.64,176.79,43.48,0,206.05,0,85.9,43.43,285.81,200.06,363.59,530.94,0,0,44.25,44.25,83.32,404.09,356.4,332.6,370.1,584.63,882.49,1217.74,512.43,0,0,0,0,0
BAGBCH-MD-OLIVE - B2B,BAGBCH-MD-OLIVE,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.4,415.52,506.13,21.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGBCH-MD-OLIVE - DTC,BAGBCH-MD-OLIVE,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,90,147,93,63,0,32,35,186,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355.41,3470.6,5332.32,3365.7,2190.82,0,1010.28,1106.35,4488.24,487.49,70,0,0,0,0,0,0,0,0,0,0,0
BAGBCH-MD-OLIVE - FBA,BAGBCH-MD-OLIVE,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,8,6,9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99,125.99,0,0,263.3,196.64,293.29,393.28,99.99,0,0,0,0,0,0,0,0,0,0
BAGBCH-MD-PSTPIER - B2B,BAGBCH-MD-PSTPIER,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66,0,0,0,0,0,0,0,0,0
BAGBCH-MD-PSTPIER - DTC,BAGBCH-MD-PSTPIER,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,18,33,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.09,856.08,709.72,1222.93,1566.11,1547.7,0,0,0,0,0
BAGBCH-MD-PSTPIER - FBA,BAGBCH-MD-PSTPIER,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.3,399.94,566.58,164.56,0,0,0,0,0
BAGBCH-MD-RSPROAD - B2B,BAGBCH-MD-RSPROAD,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041.5,41.66,0,0,2103.83,0,0,0,0,0,0
BAGBCH-MD-RSPROAD - DTC,BAGBCH-MD-RSPROAD,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,30,54,73,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.51,1002.65,1169.62,1952.45,2552.02,1168.8,0,0,0,0,0
BAGBCH-MD-RSPROAD - FBA,BAGBCH-MD-RSPROAD,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.98,124.97,474.92,566.59,81.24,0,0,0,0,0
BAGCOOL-MD-APPLTRT - B2B,BAGCOOL-MD-APPLTRT,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,200,200,0,0,0,0,0,0
BAGCOOL-MD-APPLTRT - DTC,BAGCOOL-MD-APPLTRT,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,61,65,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.5,1524.72,2662.74,2790.6,2296.09,0,0,0,0,0
BAGCOOL-MD-COLCLUB - B2B,BAGCOOL-MD-COLCLUB,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,100,100,0,500,200,0,0,0,0,0
BAGCOOL-MD-COLCLUB - DTC,BAGCOOL-MD-COLCLUB,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,25,49,58,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,205,1075,1980.66,2455.67,1258.33,0,0,0,0,0
BAGCOOL-MD-NAVY - B2B,BAGCOOL-MD-NAVY,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,1,0,20,0,0,0,0,8,2,38,10,24,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,428.39,22.91,0,458.2,0,0,0,0,188.44,1271.85,902.5,237.5,394.46,1700,0,0,0,0,0,0
BAGCOOL-MD-NAVY - DTC,BAGCOOL-MD-NAVY,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,108,71,115,60,15,7,22,22,7,3,18,50,88,161,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.54,3776.55,4176.92,2709.65,4671.99,2135.11,563.21,295,872.65,814.65,302.5,132.5,650.39,2200.11,3636.15,7114.42,3589.41,0,0,0,0,0
BAGCOOL-MD-NAVY - FBA,BAGCOOL-MD-NAVY,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,2,0,2,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.23,137.49,49.99,0,49.99,99.98,0,99.98,0,174.96,134.97,524.38,0,0,0,0,0,0
BAGDRY-MD-IBZAGLW - B2B,BAGDRY-MD-IBZAGLW,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.66,71.28,0,39.86,97.63,75,0,0,0,0,0
BAGDRY-MD-IBZAGLW - DTC,BAGDRY-MD-IBZAGLW,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,23,35,57,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.91,806.86,807.93,1131.46,1947.08,1189.11,0,0,0,0,0
BAGDRY-MD-IBZAGLW - FBA,BAGDRY-MD-IBZAGLW,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.23,37.49,104.98,148.09,0,0,0,0,0
BAGDRY-MD-MIAMI - B2B,BAGDRY-MD-MIAMI,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,43,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.16,727.94,187.5,881.25,0,0,0,0,0,0,0
BAGDRY-MD-MIAMI - DTC,BAGDRY-MD-MIAMI,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,120,68,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.79,4301.91,2448.15,2249.58,0,0,0,0,0,0,0
BAGDRY-MD-MIAMI - FBA,BAGDRY-MD-MIAMI,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.83,149.96,352.42,314.93,33.74,0,0,0,0,0,0
BAGDRY-MD-NAVY - B2B,BAGDRY-MD-NAVY,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,9,13,12,0,1,0,0,4,40,38,5,37,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.17,671.47,149.94,218.19,199.92,0,0,0,0,71.25,728.36,654.78,93.75,512.26,337.5,450,0,0,0,0,0
BAGDRY-MD-NAVY - DTC,BAGDRY-MD-NAVY,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,70,37,28,10,6,73,40,23,18,55,70,90,86,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993.84,949.29,2240.6,1045.39,774.9,316.95,199.61,1795.03,1110.12,671.41,629.41,1946.21,2410.47,2996.13,2966.56,2359.85,0,0,0,0,0
BAGDRY-MD-NAVY - FBA,BAGDRY-MD-NAVY,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,4,2,2,5,10,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.53,70.82,0,37.49,149.96,67.48,74.98,183.71,360.31,183.7,273.68,37.49,0,0,0,0,0
BAGDRY-MD-WAVYBBY - B2B,BAGDRY-MD-WAVYBBY,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,12,9,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,251.34,217.5,168.75,450,731.25,0,0,0,0,0
BAGDRY-MD-WAVYBBY - DTC,BAGDRY-MD-WAVYBBY,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,32,44,56,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.88,1391.47,1064.19,1495.38,1807.4,1379.48,0,0,0,0,0
BAGDRY-MD-WAVYBBY - FBA,BAGDRY-MD-WAVYBBY,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.49,56.24,172.45,181.83,35.62,0,0,0,0,0
BAGDRY-XS-HOTTROP - B2B,BAGDRY-XS-HOTTROP,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,20,48,43,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.28,219.86,166.6,399.84,349.86,224.91,0,0,0,0,0
BAGDRY-XS-HOTTROP - DTC,BAGDRY-XS-HOTTROP,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,141,170,268,333,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172.71,2351.21,2866.2,4494.29,5736.15,3502.69,0,0,0,0,0
BAGDRY-XS-HOTTROP - FBA,BAGDRY-XS-HOTTROP,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,50,79,130,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.64,704.13,775.89,1266.94,1911.8,124.04,0,0,0,0,0
BAGDRY-XS-MIAMI - B2B,BAGDRY-XS-MIAMI,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,72,76,97,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.32,589.51,599.09,808.01,2257.43,0,0,0,0,0,0
BAGDRY-XS-MIAMI - DTC,BAGDRY-XS-MIAMI,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,342,201,508,768,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621.9,5673.71,3416.29,8614.77,13039.41,2059.49,0,0,0,0,0
BAGDRY-XS-MIAMI - FBA,BAGDRY-XS-MIAMI,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,100,145,211,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.1,1011.91,1580.05,2321.73,3228.35,1465.35,0,0,0,0,0
BAGDRY-XS-NAVY - B2B,BAGDRY-XS-NAVY,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,73,47,53,26,0,4,4,12,0,12,31,76,134,238,227,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.88,543.8,355.29,422.7,197.84,0,30,34.78,104.27,0,93.92,573.23,621.59,1091.06,1979.86,1882.76,1006.29,0,0,0,0,0
BAGDRY-XS-NAVY - DTC,BAGDRY-XS-NAVY,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,618,246,198,140,0,31,62,198,167,99,296,232,195,388,643,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014.43,9509.5,3436.52,2877.9,2026.9,0,496.72,994.87,2824.63,2551.47,1615.96,5041.28,3940.08,3294.63,6544.63,11025.45,5777.78,0,0,0,0,0
BAGDRY-XS-NAVY - FBA,BAGDRY-XS-NAVY,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,6,10,13,22,64,68,85,105,251,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.16,0,57.57,115.14,186.72,246.63,386.35,1065.97,1123,1347.22,1693.92,3734.44,1037.72,0,0,0,0,0
BAGDRY-XS-WAVYBBY - B2B,BAGDRY-XS-WAVYBBY,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,44,107,166,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.57,364.34,364.53,891.31,1372.79,957.95,0,0,0,0,0
BAGDRY-XS-WAVYBBY - DTC,BAGDRY-XS-WAVYBBY,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,172,166,230,354,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123.23,2901.68,2795.15,3648.12,5977.83,3435.26,0,0,0,0,0
BAGDRY-XS-WAVYBBY - FBA,BAGDRY-XS-WAVYBBY,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,49,66,96,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.38,419.53,791.16,1055.86,1424.43,284.02,0,0,0,0,0
BAGDRY-XS-WYWH - B2B,BAGDRY-XS-WYWH,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,8,28,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.6,196.64,66.68,233.24,58.31,91.63,0,0,0,0,0
BAGDRY-XS-WYWH - DTC,BAGDRY-XS-WYWH,DTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,124,123,164,239,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.15,2112.45,2115.54,2806.47,4114.53,2561.64,0,0,0,0,0
BAGDRY-XS-WYWH - FBA,BAGDRY-XS-WYWH,FBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,36,54,102,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66,283.21,587.78,864.04,1524.53,320.55,0,0,0,0,0
BAGF-CAB-MD-LTPNK - B2B,BAGF-CAB-MD-LTPNK,B2B,2,7,19,31,9,22,73,8,0,15,100,0,30,9,-161,27,15,35,218,0,43,10,0,0,6,6,62,98,0,13,70,0,0,0,0,0,12.67,45.96,107.99,139.99,62.24,147.89,475.16,50.41,0,73.11,625,0,-8.9,1192.2,4104.95,739.72,1809.36,743.48,1361,0,251.6,62.5,0,0,42.05,5129.36,414.75,703.71,0,90,525,0,0,0,0,0
BAGF-CAB-MD-LTPNK - DTC,BAGF-CAB-MD-LTPNK,DTC,80,69,94,135,149,127,191,205,73,23,153,16,92,120,128,137,17,0,69,0,66,62,188,141,63,27,44,42,106,154,89,0,0,0,0,0,873.49,692.76,953.3,1428.22,1692.38,1596.62,2474.96,2535.7,867.62,294.14,1757.38,215.66,1169.42,1276.29,1654.06,1648.72,187.66,0,810.45,0,821.31,836.86,2397.07,1889.68,940.96,364.76,623.47,623.71,1505.18,2225.08,1296.42,0,0,0,0,0
BAGF-CAB-MD-LTPNK - FBA,BAGF-CAB-MD-LTPNK,FBA,13,17,51,47,109,155,229,155,102,6,52,62,9,31,69,116,182,93,34,41,18,20,16,39,14,23,34,31,51,84,64,0,0,0,0,0,163.3,186.07,557.53,506.14,1242.33,1768.32,2397.05,1861.19,1196.19,76.63,568.46,720.68,131.82,391.62,786.73,1269.16,2113,1137.93,424.57,492.75,277.32,264.83,238.68,575.74,203.75,345.67,507.79,447.76,738.24,1189.68,944.4,0,0,0,0,0
BAGF-CAB-MD-NAVY - B2B,BAGF-CAB-MD-NAVY,B2B,5,20,131,73,21,60,96,46,33,135,25,18,37,28,-107,72,101,346,336,17,16,10,4,0,12,54,68,69,26,7,11,0,0,0,0,0,25.99,131.97,672.01,357.16,122.18,346.8,562.31,248.23,166.98,806.08,117.19,113.71,3.88,1317.69,4465.01,1233.28,3556.25,1439.99,1946.87,111.45,109.92,62.5,30,0,82.55,5006.75,443.27,489.96,195,45,81.03,0,0,0,0,0
