sku_channel,sku,channel,units_2024_01,units_2024_02,units_2024_03,units_2024_04,units_2024_05,units_2024_06,units_2024_07,units_2024_08,units_2024_09,units_2024_10,units_2024_11,units_2024_12,units_2025_01,units_2025_02,units_2025_03,units_2025_04,units_2025_05,units_2025_06,units_2025_07,units_2025_08,units_2025_09,units_2025_10,units_2025_11,units_2025_12,units_2026_01,units_2026_02,units_2026_03,units_2026_04,units_2026_05,units_2026_06,units_2026_07,units_2026_08,units_2026_09,units_2026_10,units_2026_11,units_2026_12,revenue_2024_01,revenue_2024_02,revenue_2024_03,revenue_2024_04,revenue_2024_05,revenue_2024_06,revenue_2024_07,revenue_2024_08,revenue_2024_09,revenue_2024_10,revenue_2024_11,revenue_2024_12,revenue_2025_01,revenue_2025_02,revenue_2025_03,revenue_2025_04,revenue_2025_05,revenue_2025_06,revenue_2025_07,revenue_2025_08,revenue_2025_09,revenue_2025_10,revenue_2025_11,revenue_2025_12,revenue_2026_01,revenue_2026_02,revenue_2026_03,revenue_2026_04,revenue_2026_05,revenue_2026_06,revenue_2026_07,revenue_2026_08,revenue_2026_09,revenue_2026_10,revenue_2026_11,revenue_2026_12
COOL-MAR-PINK - B2B,COOL-MAR-PINK,B2B,0,0,3,6,8,11,3,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,44.24,60,82.5,22.5,0,0,23.46,0,0,0,0,0,22.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOL-MAR-PINK - DTC,COOL-MAR-PINK,DTC,4,4,17,10,18,15,14,90,74,36,231,288,4,28,37,101,0,0,0,69,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.25,60.16,242.81,148.38,264.01,214.76,224.47,1021.42,793.79,393.87,1961.6,2904.79,26.75,293.23,414.55,1075.78,0,0,0,728.96,458.91,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOL-MAR-PINK - FBA,COOL-MAR-PINK,FBA,0,1,0,0,1,0,1,3,0,1,2,1,1,4,6,7,18,16,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,14.07,0,19.16,46.89,0,19.16,25.48,14.99,14.99,62.27,97.1,103.43,202.74,165.89,10.5,33.57,58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROSSDOCK-1 - B2B,CROSSDOCK-1,B2B,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROSSDOCK-15 - B2B,CROSSDOCK-15,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROSSDOCK-16 - B2B,CROSSDOCK-16,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROSSDOCK-18 - B2B,CROSSDOCK-18,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROSSDOCK-2 - B2B,CROSSDOCK-2,B2B,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROSSDOCK-4 - B2B,CROSSDOCK-4,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CROSSDOCK-6 - B2B,CROSSDOCK-6,B2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
