Month,Action,Result,Branch,BranchId,Reference,CustomerOrderNo,Company,Stage,DispatchDate,InvoiceDateSet,Total,Currency
2026-06,UPDATE,ok,Amazon AU,16289,249-5452293-2035800,,[Redacted],Dispatched,2026-06-28,2026-06-28,31.33,AUD
2026-06,UPDATE,ok,US Geneva,5055,111-5763260-9966647,,[Redacted],Dispatched,2026-06-29,2026-06-29,30.2936,USD
2026-06,UPDATE,ok,Amazon AU,16289,503-4541072-6264642,,[Redacted],Dispatched,2026-06-28,2026-06-28,7.31,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-9193965-5459806,,[Redacted],Dispatched,2026-06-29,2026-06-29,62.27,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-5046966-7885456,,[Redacted],Dispatched,2026-06-27,2026-06-27,31.34,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-2150328-0544660,,[Redacted],Dispatched,2026-06-28,2026-06-28,31.33,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-5308471-5218229,,[Redacted],Dispatched,2026-06-27,2026-06-27,57.06,AUD
2026-06,UPDATE,ok,AU,17489,AU-139178,,,Dispatched,2026-06-30,2026-06-30,59.14,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-5161028-2135034,,[Redacted],Dispatched,2026-06-27,2026-06-27,16.71,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-4778605-1847062,,[Redacted],Dispatched,2026-06-28,2026-06-28,31.33,AUD
2026-06,UPDATE,ok,UK,5053,UK-846196,,,Dispatched,2026-06-27,2026-06-27,80,GBP
2026-06,UPDATE,ok,Amazon AU,16289,503-7870881-1872654,,[Redacted],Dispatched,2026-06-27,2026-06-27,59.54,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-5423055-6069429,,[Redacted],Dispatched,2026-06-27,2026-06-27,53.28,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-8485837-5834268,,[Redacted],Dispatched,2026-06-27,2026-06-27,82.14,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6649334-8431846,,[Redacted],Dispatched,2026-06-27,2026-06-27,24.85,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-8701258-4873467,,[Redacted],Dispatched,2026-06-27,2026-06-27,54.58,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-9570782-5371069,,[Redacted],Dispatched,2026-06-28,2026-06-28,49.61,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-2335212-4384604,,[Redacted],Dispatched,2026-06-27,2026-06-27,20.83,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-8786653-3497417,,[Redacted],Dispatched,2026-06-27,2026-06-27,31.34,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-9766797-7428600,,[Redacted],Dispatched,2026-06-26,2026-06-26,31.39,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-5541030-9617433,,[Redacted],Dispatched,2026-06-27,2026-06-27,28.73,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-7975894-7916651,,[Redacted],Dispatched,2026-06-26,2026-06-26,12.55,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-9311672-7950265,,[Redacted],Dispatched,2026-06-28,2026-06-28,12.53,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-9512950-9151838,,[Redacted],Dispatched,2026-06-26,2026-06-26,59.65,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-0090066-0532615,,[Redacted],Dispatched,2026-06-26,2026-06-26,31.39,AUD
2026-06,UPDATE,ok,Amazon AU,16289,S03-6296849-7103828,,[Redacted],Dispatched,2026-06-26,2026-06-26,0,GBP
2026-06,UPDATE,ok,Amazon AU,16289,250-9495407-7351024,,[Redacted],Dispatched,2026-06-26,2026-06-26,13.6,AUD
2026-06,UPDATE,ok,Amazon AU,16289,S03-5929165-9725909,,[Redacted],Dispatched,2026-06-25,2026-06-25,0,GBP
2026-06,UPDATE,ok,UK,5053,UK-845413,,,Dispatched,2026-06-25,2026-06-25,50,GBP
2026-06,UPDATE,ok,Amazon AU,16289,249-3296551-0709446,,[Redacted],Dispatched,2026-06-27,2026-06-27,28.73,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-9967155-1179837,,[Redacted],Dispatched,2026-06-26,2026-06-26,28.78,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-0708309-0375000,,[Redacted],Dispatched,2026-06-26,2026-06-26,28.78,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-2079973-2563035,,[Redacted],Dispatched,2026-06-26,2026-06-26,31.39,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-5987052-0403045,,[Redacted],Dispatched,2026-06-25,2026-06-25,28.81,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6617624-1511807,,[Redacted],Dispatched,2026-06-25,2026-06-25,20.54,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6981299-3686245,,[Redacted],Dispatched,2026-06-26,2026-06-26,18.42,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-9497658-0124600,,[Redacted],Dispatched,2026-06-25,2026-06-25,31.43,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-7437721-7333418,,[Redacted],Dispatched,2026-06-25,2026-06-25,31.43,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-5429124-1543844,,[Redacted],Dispatched,2026-06-25,2026-06-25,7.33,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-7763402-1817455,,[Redacted],Dispatched,2026-06-25,2026-06-25,31.43,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6082013-5659858,,[Redacted],Dispatched,2026-06-25,2026-06-25,28.81,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-0446668-7091828,,[Redacted],Dispatched,2026-06-26,2026-06-26,31.39,AUD
2026-06,UPDATE,ok,US Geneva,5055,US-2160438,,,Dispatched,2026-06-24,2026-06-24,151.545,USD
2026-06,UPDATE,ok,Amazon AU,16289,249-9739785-5461427,,[Redacted],Dispatched,2026-06-24,2026-06-24,59.72,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-7027777-8355065,,[Redacted],Dispatched,2026-06-25,2026-06-25,94.4,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-0661759-7590203,,[Redacted],Dispatched,2026-06-25,2026-06-25,28.81,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-1715933-7447024,,[Redacted],Dispatched,2026-06-24,2026-06-24,7.33,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-2631829-1419041,,[Redacted],Dispatched,2026-06-24,2026-06-24,31.43,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-7866567-4519045,,[Redacted],Dispatched,2026-06-24,2026-06-24,7.33,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-9148607-0390234,,[Redacted],Dispatched,2026-06-24,2026-06-24,23.57,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6214529-4354267,,[Redacted],Dispatched,2026-06-24,2026-06-24,99.03,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-0363177-2553445,,[Redacted],Dispatched,2026-06-25,2026-06-25,12.57,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-7677581-3624662,,[Redacted],Dispatched,2026-06-24,2026-06-24,28.81,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-9081880-8240633,,[Redacted],Dispatched,2026-06-24,2026-06-24,31.43,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-5670931-4987016,,[Redacted],Dispatched,2026-06-24,2026-06-24,12.57,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6987743-9098260,,[Redacted],Dispatched,2026-06-25,2026-06-25,7.33,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-5278005-8223010,,[Redacted],Dispatched,2026-06-24,2026-06-24,12.57,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-7281451-4540649,,[Redacted],Dispatched,2026-06-25,2026-06-25,12.57,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6532390-5780647,,[Redacted],Dispatched,2026-06-24,2026-06-24,23.57,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-4464084-1681460,,[Redacted],Dispatched,2026-06-23,2026-06-23,64.26,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-9172306-5476618,,[Redacted],Dispatched,2026-06-23,2026-06-23,12.03,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-4354753-6371052,,[Redacted],Dispatched,2026-06-23,2026-06-23,12.03,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-2421435-5669447,,[Redacted],Dispatched,2026-06-23,2026-06-23,14.04,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-0855089-0592610,,[Redacted],Dispatched,2026-06-23,2026-06-23,29.04,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-8909185-6176654,,[Redacted],Dispatched,2026-06-23,2026-06-23,31.68,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-6863812-7504646,,[Redacted],Dispatched,2026-06-24,2026-06-24,31.43,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-0703664-2757465,,[Redacted],Dispatched,2026-06-23,2026-06-23,55.17,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-7808261-6311832,,[Redacted],Dispatched,2026-06-23,2026-06-23,31.68,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-6849757-2871031,,[Redacted],Dispatched,2026-06-23,2026-06-23,29.04,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-2274016-3387047,,[Redacted],Dispatched,2026-06-23,2026-06-23,12.67,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-3155251-6509443,,[Redacted],Dispatched,2026-06-23,2026-06-23,31.68,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-3618550-3233409,,[Redacted],Dispatched,2026-06-23,2026-06-23,29.04,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-8948870-4149439,,[Redacted],Dispatched,2026-06-24,2026-06-24,28.81,AUD
2026-06,UPDATE,ok,AU,17489,AU-138919,,,Dispatched,2026-06-23,2026-06-23,42.38,AUD
2026-06,UPDATE,ok,Amazon US,16288,AU-138847,,ALERT: ORDER CANCELLED!,Dispatched,2026-06-22,2026-06-22,83.4,AUD
2026-06,UPDATE,ok,AU,17489,AU-138695,,,Dispatched,2026-06-28,2026-06-28,42.26,AUD
2026-07,UPDATE,ok,UK,5053,UK-869777,,,Dispatched,2026-07-31,2026-07-31,30,GBP
2026-07,UPDATE,ok,Amazon AU,16289,249-8627012-0043012,,[Redacted],Dispatched,2026-07-31,2026-07-31,59.46,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-6937451-7745433,,[Redacted],Dispatched,2026-07-31,2026-07-31,13.59,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-3990366-3487842,,[Redacted],Dispatched,2026-07-31,2026-07-31,7.31,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-3684009-8415011,,[Redacted],Dispatched,2026-07-31,2026-07-31,33.98,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-0089471-6755031,,[Redacted],Dispatched,2026-07-31,2026-07-31,7.32,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-1581479-7355836,,[Redacted],Dispatched,2026-07-31,2026-07-31,28.75,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-6657326-5056611,,[Redacted],Dispatched,2026-07-31,2026-07-31,32.79,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-7977316-6058205,,[Redacted],Dispatched,2026-07-31,2026-07-31,28.69,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-1983035-9306213,,[Redacted],Dispatched,2026-07-30,2026-07-30,15.62,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-3568766-9259811,,[Redacted],Dispatched,2026-07-30,2026-07-30,12.49,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-1816664-3467001,,[Redacted],Dispatched,2026-07-31,2026-07-31,31.32,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-5830063-3780624,,[Redacted],Dispatched,2026-07-30,2026-07-30,16.66,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-5088381-4010227,,[Redacted],Dispatched,2026-07-31,2026-07-31,31.29,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-6010265-1916647,,[Redacted],Dispatched,2026-07-30,2026-07-30,31.24,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-9704415-4075853,,[Redacted],Dispatched,2026-07-30,2026-07-30,28.63,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-1159751-3930258,,[Redacted],Dispatched,2026-07-30,2026-07-30,28.63,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-6070213-4378246,,[Redacted],Dispatched,2026-07-30,2026-07-30,18.58,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-4361588-8015851,,[Redacted],Dispatched,2026-07-30,2026-07-30,22.08,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-0377765-0011048,,[Redacted],Dispatched,2026-07-29,2026-07-29,57.34,AUD
2026-07,UPDATE,ok,US Geneva,5055,US-2163913,,,Dispatched,2026-07-29,2026-07-29,15.0554,USD
2026-07,UPDATE,ok,Amazon AU,16289,S03-2940855-4569064,,[Redacted],Dispatched,2026-07-29,2026-07-29,0,GBP
2026-07,UPDATE,ok,Amazon AU,16289,250-6795774-8347831,,[Redacted],Dispatched,2026-07-30,2026-07-30,31.24,AUD
2026-07,UPDATE,ok,Amazon AU,16289,249-9199120-5169415,,[Redacted],Dispatched,2026-07-30,2026-07-30,28.63,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-7257671-6003068,,[Redacted],Dispatched,2026-07-31,2026-07-31,28.71,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-4070960-2694264,,[Redacted],Dispatched,2026-07-29,2026-07-29,31.49,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-0367685-8465449,,[Redacted],Dispatched,2026-07-29,2026-07-29,28.87,AUD
2026-07,UPDATE,ok,Amazon AU,16289,250-7214526-8767834,,[Redacted],Dispatched,2026-07-30,2026-07-30,31.24,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-0103014-8826233,,[Redacted],Dispatched,2026-07-30,2026-07-30,26.56,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-7507846-7867001,,[Redacted],Dispatched,2026-07-29,2026-07-29,80.31,AUD
2026-07,UPDATE,ok,Amazon AU,16289,503-3160058-5588607,,[Redacted],Dispatched,2026-07-29,2026-07-29,28.87,AUD
2026-07,UPDATE,ok,?,23087,EU-47383,,,Dispatched,2026-07-29,2026-07-29,29.1437,EUR
2026-07,UPDATE,ok,Amazon AU,16289,503-5786865-6257425,,[Redacted],Dispatched,2026-07-29,2026-07-29,35.69,AUD
